Game ID,Date,Home Team,Away Team,Outcome,home_points-per-game,home_true-shooting-percentage,home_offensive-rebounds-per-game,home_defensive-rebounds-per-game,home_steals-per-game,home_assist--per--turnover-ratio,home_personal-fouls-per-game,home_win-pct-all-games,away_points-per-game,away_true-shooting-percentage,away_offensive-rebounds-per-game,away_defensive-rebounds-per-game,away_steals-per-game,away_assist--per--turnover-ratio,away_personal-fouls-per-game,away_win-pct-all-games
74,10/28/22,Milwaukee Bucks,New York Knicks,1,108.3,113.1,9.7,40.0,6.0,1.510,20.0,1.000,122.8,112.8,14.8,35.3,5.8,1.981,25.0,0.750
75,10/28/22,Minnesota Timberwolves,Los Angeles Lakers,1,119.4,116.8,11.4,38.4,7.2,1.585,19.4,0.600,102.3,99.4,8.5,34.8,10.5,1.644,20.5,0.000
76,10/28/22,San Antonio Spurs,Chicago Bulls,1,118.0,112.7,12.2,30.8,7.8,2.053,20.0,0.600,111.2,112.1,11.0,33.6,9.2,1.771,20.6,0.600
77,10/28/22,Denver Nuggets,Utah Jazz,1,114.4,117.0,10.0,32.8,8.2,1.872,22.2,0.600,118.8,111.1,14.8,33.8,10.6,1.698,23.8,0.800
78,10/28/22,Phoenix Suns,New Orleans Pelicans,1,116.0,114.2,11.0,33.5,7.8,2.071,23.8,0.750,122.0,116.9,13.5,32.8,8.3,1.817,19.5,0.750
79,10/28/22,Portland Trail Blazers,Houston Rockets,1,113.4,116.3,11.4,34.0,7.4,1.200,17.6,0.800,109.8,104.3,14.8,33.6,6.2,1.253,22.8,0.200
80,10/29/22,Sacramento Kings,Miami Heat,1,113.0,113.9,8.8,34.0,7.0,1.930,23.8,0.000,107.2,112.5,9.3,32.2,8.3,1.724,20.0,0.333
81,10/29/22,Charlotte Hornets,Golden State Warriors,1,118.2,112.9,11.6,34.2,7.0,1.863,22.0,0.400,120.8,117.7,10.0,32.0,7.8,1.690,21.6,0.600
82,10/29/22,Brooklyn Nets,Indiana Pacers,0,113.0,112.8,10.2,29.8,6.8,1.710,25.2,0.200,117.8,112.1,11.8,33.0,5.7,1.899,22.5,0.333
83,10/29/22,Chicago Bulls,Philadelphia 76ers,0,113.3,112.0,11.7,32.5,9.8,1.735,20.3,0.500,108.5,118.7,6.7,31.5,7.5,1.917,17.7,0.333
84,10/29/22,Milwaukee Bucks,Atlanta Hawks,1,111.0,108.5,12.0,40.3,6.5,1.732,20.8,1.000,117.6,114.2,9.8,34.2,8.2,2.316,21.4,0.800
85,10/29/22,Dallas Mavericks,Oklahoma City Thunder,0,120.5,123.8,9.5,32.0,7.3,1.456,21.3,0.500,111.4,103.3,14.2,34.2,9.0,2.161,20.4,0.400
86,10/29/22,Utah Jazz,Memphis Grizzlies,1,115.8,109.5,13.7,33.2,10.0,1.771,24.8,0.667,119.8,112.9,13.2,31.6,6.0,1.806,21.4,0.800
